"filename", "language", "TypeScript", "JSON with Comments", "HTML", "JSON", "vue", "SCSS", "XML", "Java", "Java Properties", "Shell Script", "MS SQL", "Batch", "Markdown", "PlantUML", "comment", "blank", "total"
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\SchoolService.java", "Java", 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, -61, -12, -89
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\UserService.java", "Java", 0, 0, 0, 0, 0, 0, 0, -331, 0, 0, 0, 0, 0, 0, -99, -73, -503
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\impl\ForumServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, -420, 0, 0, 0, 0, 0, 0, -32, -90, -542
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\impl\RecommendationServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, -503, 0, 0, 0, 0, 0, 0, -80, -104, -687
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\impl\SchoolServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, -240, 0, 0, 0, 0, 0, 0, -17, -30, -287
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\util\AuthUtil.java", "Java", 0, 0, 0, 0, 0, 0, 0, -55, 0, 0, 0, 0, 0, 0, 0, -8, -63
"e:\AdmitGenius\backend\src\test\java\org\example\admitgeniusbackend\AdmitGeniusBackEndApplicationTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -5, -14
"e:\AdmitGenius\frontend\auto-imports.d.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 88
"e:\AdmitGenius\frontend\components.d.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 73
"e:\AdmitGenius\frontend\env.d.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 18
"e:\AdmitGenius\frontend\index.html", "HTML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"e:\AdmitGenius\frontend\package-lock.json", "JSON", 0, 0, 0, 4895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4896
"e:\AdmitGenius\frontend\package.json", "JSON", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"e:\AdmitGenius\frontend\src\App.vue", "vue", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"e:\AdmitGenius\frontend\src\api\index.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 18, 135
"e:\AdmitGenius\frontend\src\api\mockService.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 28, 200
"e:\AdmitGenius\frontend\src\api\services\auth.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 28
"e:\AdmitGenius\frontend\src\api\services\essay.ts", "TypeScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 182
"e:\AdmitGenius\frontend\src\api\services\forum.ts", "TypeScript", 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 50, 467
"e:\AdmitGenius\frontend\src\api\services\mock.ts", "TypeScript", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 6, 177
"e:\AdmitGenius\frontend\src\api\services\profile.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 57
"e:\AdmitGenius\frontend\src\api\services\recommendation.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 14, 155
"e:\AdmitGenius\frontend\src\api\services\statistics.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 6, 35
"e:\AdmitGenius\frontend\src\api\services\user.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 10, 85
"e:\AdmitGenius\frontend\src\assets\dashboard-hero.svg", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 8, 10, 45
